"№","Вопрос","Правильная буква","Правильный ответ","Объяснение"
"1","На занятиях студенты-филологи… литературу","Б","изучают","Правильно: «изучают литературу». Глагол «изучать» употребляется с учебными предметами и областями знания. «Учить» чаще значит заучивать материал: слова, стихотворение, правило. «Учиться» требует другой конструкции: учиться чему-либо или где-либо."
"2","Эти упражнения можно… разными методами","Б","выполнить","Правильно: «выполнить упражнения». С существительным «упражнения» в учебном стиле лучше сочетается глагол «выполнить». «Сделать упражнения» разговорно возможно, но менее нейтрально. «Решить» обычно употребляется со словом «задача»."
"3","На третьем этаже находится… декана","А","кабинет","Правильно: «кабинет декана». «Кабинет» — официальное рабочее помещение должностного лица. «Комната декана» звучит бытово, а «помещение декана» не является устойчивым сочетанием."
"4","Эти… журналы мне больше не нужны","А","старые","Правильно: «старые журналы». Для журналов нейтрально говорят «старые». «Устаревшие» чаще относится к информации, данным, методам. «Поношенные» употребляется в основном об одежде и обуви."
"5","Михаилу нравится…","А","классическая музыка","Правильно: «Михаилу нравится классическая музыка». После «нравится» предмет, который нравится, стоит в именительном падеже: музыка нравится кому? Михаилу."
"6","Студентам интересна…","А","современная литература","Правильно: «Студентам интересна современная литература». Слово «литература» здесь подлежащее и стоит в именительном падеже."
"7","Скоро в городе откроется… театр","А","новый драматический","Правильно: «откроется новый драматический театр». Словосочетание согласуется с подлежащим «театр» в именительном падеже."
"8","У нас нет… на этой неделе","А","практических занятий","Правильно: «нет практических занятий». После слова «нет» существительное обычно ставится в родительном падеже."
"9","В программе участвовали артисты…","А","театра имени Вахтангова","Правильно: «артисты театра имени Вахтангова». Здесь нужно указать принадлежность: артисты чего? театра."
"10","В нашем районе много…","А","спортивных секций","Правильно: «много спортивных секций». После слов количества типа «много», «мало», «несколько» часто используется родительный падеж множественного числа."
"11","Вчера мы были в гостях…","А","у друзей","Правильно: «были в гостях у друзей». Устойчивая конструкция: быть в гостях у кого-либо."
"12","После занятий студенты пошли…","А","в библиотеку","Правильно: «пошли в библиотеку». Если речь о движении внутрь учреждения, используется «в» + винительный падеж."
"13","Анна получила сообщение…","А","от брата","Правильный ответ: А. от брата. Сообщение можно получить от кого? — от брата."
"14","…профессия требует знаний","А","Эта","Правильно: «Эта профессия». Слово «профессия» женского рода, именительный падеж единственного числа: эта."
"15","Университет находится…","А","рядом с парком","Правильно: «рядом с парком». Наречие «рядом» в этой конструкции требует предлога «с» и творительного падежа."
"16","Мне нужно купить подарок…","А","для сестры","Правильно: «подарок для сестры». Предлог «для» указывает адресата или назначение подарка и требует родительного падежа."
"17","…детям нельзя смотреть этот фильм","А","Маленьким","Правильно: «Маленьким детям нельзя…». В конструкции «кому нельзя?» используется дательный падеж."
"18","…понравилось представление","А","Иностранным туристам","Правильно: «Иностранным туристам понравилось представление». После «понравилось» лицо, которому понравилось, стоит в дательном падеже."
"19","…трудно вставать рано","А","Моему другу","Правильно: «Моему другу трудно вставать рано». В безличной конструкции «кому трудно?» используется дательный падеж."
"20","Сегодня… исполняется 18 лет","А","моей подруге","Правильно: «моей подруге исполняется 18 лет». Возраст «исполняется» кому? — дательный падеж."
"21","Завтра я иду…","А","к врачу","Правильно: «иду к врачу». Для движения к человеку используется предлог «к» + дательный падеж."
"22","Студенты отправляют письма…","А","по почте","Правильно: «отправляют письма по почте». Это способ отправки. «На почте» означает место, где выполняется действие."
"23","Где можно найти справочник…?","А","по грамматике","Правильно: «справочник по грамматике». Предлог «по» часто используется для указания темы учебника, пособия или справочника."
"24","Дежурный ходит… и проверяет порядок.","А","по кабинетам","Правильный ответ: А. по кабинетам. Глагол ходить в значении движения по разным местам употребляется с по + дательный падеж: ходить по кабинетам."
"25","В аудитории ждут…","А","студентов","Правильно: «ждут студентов». Глагол «ждать» с одушевлённым объектом требует родительного или винительного падежа; здесь форма «студентов» совпадает для обоих."
"26","Летом студенты едут…","А","на практику","Правильно: «едут на практику». Это устойчивое сочетание: ехать на практику, на стажировку, на экскурсию."
"27","Она хочет поступить…","А","в университет","Правильно: «поступить в университет». С глаголом «поступить» в значении стать студентом используется предлог «в»."
"28","Туристы интересуются…","А","историей города","Правильный ответ: А. историей города. Глагол интересоваться требует творительного падежа: интересоваться чем? историей города."
"29","Книга написана…","А","известным автором","Правильно: «написана известным автором». В пассивной конструкции исполнитель действия выражается творительным падежом."
"30","Библиотека находится…","А","недалеко от университета","Правильно: «недалеко от университета». Наречие «недалеко» в этой конструкции требует предлога «от» и родительного падежа."
"31","Профессор читает лекцию…","А","о науке","Правильно: «лекцию о науке». Предлог «о» используется для обозначения темы речи, лекции, книги, фильма."
"32","Мы поедем…","А","на машине","Правильно: «поедем на машине». Для способа передвижения используется конструкция «на + транспорт»: на машине, на автобусе, на поезде."
"33","Я видел… в театре","А","их","Правильно: «видел их». Глагол «видеть» требует прямого дополнения в винительном падеже. Для местоимения «они» это форма «их»."
"34","Фильм рассказывает…","А","о нём","Правильно: «рассказывает о нём». Глагол «рассказывать» в значении сообщать информацию требует предлога «о» + предложный падеж."
"35","Мы идём… в музей","А","с ними","Правильно: «идём с ними в музей». Совместное действие выражается предлогом «с» + творительный падеж."
"36","Певица каждый вечер красиво…","А","поёт","Правильный ответ: А. поёт. Слова каждый вечер показывают повторяющееся действие, поэтому нужен несовершенный вид: поёт."
"37","Мама уже… обед","Б","приготовила","Правильно: «уже приготовила обед». Слово «уже» часто указывает на завершённый результат, поэтому нужен совершенный вид."
"38","Я не смог… ей","А","позвонить","Правильно: «не смог позвонить». После «смочь» используется инфинитив."
"39","Вчера я случайно… друга","А","встретил","Правильно: «случайно встретил друга». Здесь речь об одном завершённом событии. «Встречал» обозначает процесс или повторяемое действие."
"40","Вы уже… работу?","А","закончили","Правильно: «уже закончили работу?». Вопрос о результате требует совершенного вида."
"41","В университете он… физику","А","изучал","Правильно: «изучал физику». Речь об учебном процессе в университете. «Изучил физику» звучит как полный завершённый результат, что в таком контексте обычно неуместно."
"42","Вчера преподаватель… студентов","А","поздравил","Правильно: «вчера поздравил студентов». Наречие «вчера» требует прошедшего времени."
"43","Я уже… этот фильм несколько раз.","Б","смотрел","Правильный ответ: Б. смотрел. Слова несколько раз показывают повторение действия, поэтому нужен несовершенный вид: смотрел."
"44","Моя сестра не любит… на самолёте","Б","летать","Правильно: «не любит летать на самолёте». Для привычного или повторяющегося действия используется многонаправленный глагол «летать»."
"45","– Антон, мы завтра идём в театр. Ты… с нами?","В","пойдёшь","Правильный ответ: В. пойдёшь. Речь идёт об одном конкретном походе завтра, поэтому нужен глагол пойти: ты пойдёшь с нами?"
"46","– Что ты будешь делать завтра?","А","пойду в музей","Правильно: «пойду в музей». В ответе на вопрос о будущем используется будущая форма. С музеем используется предлог «в»."
"47","Анна пригласила меня, я сказал, что… вечером","А","приду","Правильно: «я сказал, что приду вечером». «Прийти» — прийти к кому-то или куда-то. «Дойти» подчёркивает достижение точки, «перейти» — перемещение через что-то или смену места."
"48","Мы… до дома за 15 минут","В","доехали","Правильно: «доехали до дома». Приставка «до-» указывает достижение конечной точки."
"49","Директор уже… домой","А","ушёл","Правильно: «ушёл домой». Глагол «уйти» означает покинуть место и направиться куда-либо."
"50","Мария… в новую квартиру","В","переехала","Правильно: «переехала в новую квартиру». «Переехать» означает сменить место жительства."
"51","– Отойди…, дует ветер!","А","от окна","Правильно: «отойди от окна». Глагол «отойти» требует направления удаления: от чего-либо."
"52","– Принесите несколько…, пожалуйста.","А","яблок","Правильный ответ: А. яблок. После слова несколько существительное ставится в родительный падеж множественного числа: несколько яблок."
"53","– Давайте… в магазин","А","зайдём","Правильно: «Давайте зайдём в магазин». «Зайти» — ненадолго войти куда-либо."
"54","Я… на улицу из дома","Б","вышел","Правильно: «вышел на улицу из дома». «Выйти» означает покинуть внутреннее пространство."
"55","Я хочу… эту книгу","Б","купить","Правильно: «хочу купить». После глагола «хотеть» используется инфинитив."
"56","Экзамен будет…","А","первого сентября","Правильно: «первого сентября». Даты в значении времени события обычно употребляются в родительном падеже."
"57","Нельзя пользоваться телефоном… занятия","А","во время","Правильно: «во время занятия». Это значит, что запрет действует в процессе занятия."
"58","Мы идём на концерт…","А","в субботу","Правильно: «в субботу». Для дня недели как времени события используется предлог «в» + винительный падеж."
"59","Он вернёт деньги…","А","через неделю","Правильно: «через неделю». Это означает: спустя одну неделю от настоящего момента."
"60","Я позвоню тебе…","А","через час","Правильно: «через час». Для будущего действия спустя некоторое время используется «через + винительный падеж»."
"61","Я был в Москве…","А","два дня назад","Правильно: «два дня назад». Это указывает на прошедшее время."
"62","Они учатся в университете…","В","в этом году","Правильно: «в этом году». Для обозначения года как временного периода используется предложный падеж: в этом году."
"63","Студент, … на лекцию, получил двойку","А","опоздавший","Правильно: «студент, опоздавший на лекцию». Причастие согласуется со словом «студент» в мужском роде, единственном числе, именительном падеже."
"64","Студентка, … русский язык, получила стипендию.","А","изучающая","Правильный ответ: А. изучающая. Причастие относится к слову студентка, поэтому должно быть в женском роде, именительном падеже: студентка, изучающая русский язык."
"65","Студенты, … сессию, отдыхают","А","сдавшие","Правильно: «студенты, сдавшие сессию». Причастие согласуется со словом «студенты» в именительном падеже множественного числа."
"66","Девушка, … я звонил, уехала","А","которой","Правильно: «девушка, которой я звонил». Глагол «звонить» требует дательного падежа: звонить кому?"
"67","Человек, … я дал книгу, не вернул её","А","которому","Правильно: «человек, которому я дал книгу». Глагол «дать» требует дательного падежа для получателя: дать кому?"
"68","Друзья, … я звонил, не ответили","В","которым","Правильно: «друзья, которым я звонил». Глагол «звонить» требует дательного падежа."
"69","Если…, я помогу.","А","позвонишь","Правильный ответ: А. позвонишь. В реальном условии с если употребляется будущее время: если позвонишь, я помогу."
"70","Я не знаю, … он придёт","А","когда","Правильно: «Я не знаю, когда он придёт». Слово «когда» вводит придаточное времени в косвенном вопросе."
"71","Он не пришёл, … заболел","А","потому что","Правильно: «Он не пришёл, потому что заболел». Здесь называется причина. «Поэтому» и «так что» выражают следствие."
"72","Она опоздала, … проспала","А","потому что","Правильно: «Она опоздала, потому что проспала». Во второй части указана причина опоздания."
"73","Хотя…, я пришёл","А","шёл дождь","Правильно: «Хотя шёл дождь, я пришёл». После «хотя» нужна придаточная часть с грамматической основой."
"74","Я пришёл, … помочь","А","чтобы","Правильно: «Я пришёл, чтобы помочь». Союз «чтобы» выражает цель действия."
"75","Скажи, … ты был там","А","был ли","Правильно: «Скажи, был ли ты там». Частица «ли» используется в косвенном общем вопросе."
"76","Мы хотим знать, … она.","А","придёт ли","Правильный ответ: А. придёт ли. В косвенном вопросе используется частица ли: мы хотим знать, придёт ли она."
"77","Он не знает, … он прийти","А","сможет ли","Правильно: «Он не знает, сможет ли он прийти». В косвенном общем вопросе используется частица «ли»."
"78","Я учусь, … работать","А","чтобы","Правильно: «Я учусь, чтобы работать». Союз «чтобы» выражает цель. «Для того» требует продолжения «чтобы»."
"79","Современное образование … технологическим развитием.","А","связано с","Правильно: «связано с технологическим развитием». Конструкция «связан с чем?» требует творительного падежа."
"80","В последние годы активно … цифровая экономика.","Б","развивается","Правильно: «активно развивается цифровая экономика». Здесь нужен глагол-сказуемое."
"81","Социология как наука … в конце XIX века.","А","возникла","Правильно: «социология возникла». Слово «социология» женского рода, поэтому глагол в прошедшем времени имеет форму женского рода."
"82","Экономическая политика … развитие страны.","А","направлена на","Правильно: «направлена на развитие страны». Конструкция «направлена на что?» требует винительного падежа."
"83","Культура … духовные ценности общества.","А","отражает","Правильно: «культура отражает духовные ценности общества». Здесь нужен переходный глагол с прямым дополнением. «Отражается» требует другой конструкции: отражается в чём-либо."
"84","На рынке образовательных услуг … частные вузы.","А","представлены","Правильно: «представлены частные вузы». Сказуемое согласуется с существительным «вузы» во множественном числе."
"85","Международные отношения … политическую ситуацию.","А","влияют на","Правильно: «влияют на политическую ситуацию». Конструкция «влиять на что?» требует винительного падежа."
"86","Такая тенденция характерна … молодёжной среде.","А","для","Правильно: «характерна для молодёжной среды». Прилагательное «характерен» требует конструкции «для кого? для чего?»."
"87","Наука отличается … псевдонауки.","Б","от","Правильно: «отличается от псевдонауки». Глагол «отличаться» требует предлога «от»."
"88","Загрязнение окружающей среды … на экосистему.","А","влияет","Правильно: «влияет на экосистему». Конструкция «влиять на что?» требует винительного падежа."
"89","История и философия относятся … гуманитарным наукам.","А","к","Правильно: «относятся к гуманитарным наукам». Глагол «относиться» в значении принадлежности требует предлога «к» + дательный падеж."
"90","Результаты зависят … подготовки.","А","от","Правильный ответ: А. от. Глагол зависеть требует предлога от: зависеть от подготовки."
"91","Совет Федерации и Государственная Дума … Парламента России.","Б","входят в состав","Правильный ответ: Б. входят в состав. С существительным в родительном падеже правильно: входят в состав чего? Парламента России."
"92","Этот раздел входит … программу курса.","А","в","Правильный ответ: А. в. Глагол входить в значении «быть частью чего-то» употребляется с предлогом в: входит в программу."
"93","Новая методика способствует … мотивации.","А","повышению","Правильный ответ: А. повышению. Глагол способствовать требует дательного падежа: способствует чему? повышению мотивации."
"94","Время сдачи экзаменов называют …","А","сессией","Правильно: «называют сессией». В конструкции «называть чем?» используется творительный падеж."
"95","Этот университет является … образовательным центром.","А","ведущим","Правильный ответ: А. ведущим. После является нужен творительный падеж: является каким? ведущим образовательным центром."
"96","Лингвистика … науку о языке.","А","представляет собой","Правильно: «представляет собой науку о языке». После «представляет собой» может стоять винительный падеж."
"97","Экономическая система … производство и распределение.","А","включает","Правильно: «включает производство и распределение». Глагол «включать» требует прямого дополнения."
"98","Образование … важную роль в развитии общества.","А","играет","Правильно: «играет важную роль». Это устойчивое сочетание."
"99","Учёный, исследующий эту проблему, получил премию.","А","который исследует","Правильно: «который исследует». Причастие «исследующий» — действительное причастие настоящего времени, поэтому оно соответствует конструкции «который исследует»."
"100","Роман, написанный этим автором, стал бестселлером.","Б","который был написан","Правильно: «который был написан». Причастие «написанный» — страдательное причастие прошедшего времени. Роман не сам написал, а был написан автором."
